METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,CODE_NAME,SCORE_MEAN,SCORE_SE,SCORE_MIN,SCORE_MAX,UNIT,LABEL
Agricultural Livelihoods,livelihoods,Agricultural Jobs,ORCHARD_DECIDUOUS,0.05098351830054537,0.007932300491896178,0.011353817759421786,0.15402208672086723,employees per ha,Orchard - Deciduous Fruits & Nuts
Agricultural Livelihoods,livelihoods,Agricultural Jobs,ORCHARD_CITRUS&SUBTROPICAL,0.05098351830054537,0.007932300491896178,0.011353817759421786,0.15402208672086723,employees per ha,Orchard - Citrus & Subtropical
Agricultural Livelihoods,livelihoods,Agricultural Jobs,VINEYARD,0.02269056648746179,0.002259764552414,0.0049421,0.044478899999999995,employees per ha,Vineyard
Agricultural Livelihoods,livelihoods,Agricultural Jobs,GRAIN&HAY_WHEAT,0.001967880365152875,3.57258631427393e-4,0.001313118357487923,0.0036698762376237625,employees per ha,Wheat
Agricultural Livelihoods,livelihoods,Agricultural Jobs,GRAIN&HAY_OTHER,0.0039506997467660485,5.513717044380067e-4,0.003399328042328042,0.004502071451204055,employees per ha,Other Grains
Agricultural Livelihoods,livelihoods,Agricultural Jobs,FIELD_CORN,0.0024409219407038134,2.2833241654319982e-4,8.920758122743681e-4,0.003927496688741722,employees per ha,Corn
Agricultural Livelihoods,livelihoods,Agricultural Jobs,FIELD_OTHER,5.747606936795885e-4,7.40336150950513e-5,4.560334827313472e-4,7.88632978723404e-4,employees per ha,Other Field Crops
Agricultural Livelihoods,livelihoods,Agricultural Jobs,ROW,0.049696455553818734,0.0033294730163744304,0.026177066061323858,0.07060975814063238,employees per ha,Row Crops
Agricultural Livelihoods,livelihoods,Agricultural Jobs,RICE,0.014404298868204869,0.001806636370717224,0.003365788876276958,0.026173115264797507,employees per ha,Rice
Agricultural Livelihoods,livelihoods,Agricultural Jobs,IDLE,0,NA,NA,NA,employees per ha,Idle
Agricultural Livelihoods,livelihoods,Agricultural Jobs,PASTURE_ALFALFA,0.006340739337371615,0.00062298051766420965,0.0028930593026215323,0.011929206896551725,employees per ha,Alfalfa
Agricultural Livelihoods,livelihoods,Agricultural Jobs,PASTURE_OTHER,0.006340739337371615,0.00062298051766420965,0.0028930593026215323,0.011929206896551725,employees per ha,Other Pasture
Agricultural Livelihoods,livelihoods,Agricultural Jobs,GRASSLAND,0,NA,NA,NA,employees per ha,Grassland
Agricultural Livelihoods,livelihoods,Agricultural Jobs,URBAN,0,NA,NA,NA,employees per ha,Urban
Agricultural Livelihoods,livelihoods,Agricultural Jobs,RIPARIAN,0,NA,NA,NA,employees per ha,Riparian
Agricultural Livelihoods,livelihoods,Agricultural Jobs,RIPARIAN_FOREST_POFR,0,NA,NA,NA,employees per ha,Riparian - Cottonwood
Agricultural Livelihoods,livelihoods,Agricultural Jobs,RIPARIAN_FOREST_QULO,0,NA,NA,NA,employees per ha,Riparian - Valley Oak
Agricultural Livelihoods,livelihoods,Agricultural Jobs,RIPARIAN_FOREST_SALIX,0,NA,NA,NA,employees per ha,Riparian - Willow
Agricultural Livelihoods,livelihoods,Agricultural Jobs,RIPARIAN_FOREST_MIXED,0,NA,NA,NA,employees per ha,Riparian - Mixed Forest
Agricultural Livelihoods,livelihoods,Agricultural Jobs,RIPARIAN_SCRUB_INTRO,0,NA,NA,NA,employees per ha,Riparian - Introduced Scrub
Agricultural Livelihoods,livelihoods,Agricultural Jobs,RIPARIAN_SCRUB_SALIX,0,NA,NA,NA,employees per ha,Riparian - Willow Shrub
Agricultural Livelihoods,livelihoods,Agricultural Jobs,RIPARIAN_SCRUB_MIXED,0,NA,NA,NA,employees per ha,Riparian - Mixed Shrub
Agricultural Livelihoods,livelihoods,Agricultural Jobs,WETLAND_MANAGED,0,NA,NA,NA,employees per ha,Managed Wetland
Agricultural Livelihoods,livelihoods,Agricultural Jobs,WETLAND_MANAGED_PERENNIAL,0,NA,NA,NA,employees per ha,Managed Wetland - Perennial
Agricultural Livelihoods,livelihoods,Agricultural Jobs,WETLAND_MANAGED_SEASONAL,0,NA,NA,NA,employees per ha,Managed Wetland - Seasonal
Agricultural Livelihoods,livelihoods,Agricultural Jobs,WETLAND_TIDAL,0,NA,NA,NA,employees per ha,Tidal Wetland
Agricultural Livelihoods,livelihoods,Agricultural Jobs,WETLAND_OTHER,0,NA,NA,NA,employees per ha,Other Wetland
Agricultural Livelihoods,livelihoods,Agricultural Jobs,WATER,0,NA,NA,NA,employees per ha,Water
Agricultural Livelihoods,livelihoods,Agricultural Jobs,WOODLAND,0,NA,NA,NA,employees per ha,Woodland
Agricultural Livelihoods,livelihoods,Agricultural Jobs,SCRUB,0,NA,NA,NA,employees per ha,Scrub
Agricultural Livelihoods,livelihoods,Agricultural Jobs,BARREN,0,NA,NA,NA,employees per ha,Barren
Agricultural Livelihoods,livelihoods,Annual Wages,ORCHARD_DECIDUOUS,36.50889484346645,0.9618956600014572,20.975964285714287,46.150803636363634,annual dollars per employee (thousands),Orchard - Deciduous Fruits & Nuts
Agricultural Livelihoods,livelihoods,Annual Wages,ORCHARD_CITRUS&SUBTROPICAL,36.50889484346645,0.9618956600014572,20.975964285714287,46.150803636363634,annual dollars per employee (thousands),Orchard - Citrus & Subtropical
Agricultural Livelihoods,livelihoods,Annual Wages,VINEYARD,36.39096978233102,1.2559914721629224,22.39183333333333,58.65125,annual dollars per employee (thousands),Vineyard
Agricultural Livelihoods,livelihoods,Annual Wages,GRAIN&HAY_WHEAT,40.98530116550116,1.4748488412900669,35.943333333333335,46.6458,annual dollars per employee (thousands),Wheat
Agricultural Livelihoods,livelihoods,Annual Wages,GRAIN&HAY_OTHER,37.42158277591973,3.289852006688965,34.131730769230764,40.7114347826087,annual dollars per employee (thousands),Other Grains
Agricultural Livelihoods,livelihoods,Annual Wages,FIELD_CORN,37.39493255977689,1.4903331045427175,26.40893442622951,46.9306,annual dollars per employee (thousands),Corn
Agricultural Livelihoods,livelihoods,Annual Wages,FIELD_OTHER,37.96504495614035,1.692413670145488,32.95126315789474,40.3135,annual dollars per employee (thousands),Other Field Crops
Agricultural Livelihoods,livelihoods,Annual Wages,ROW,37.08176093191373,2.051770126373111,27.333246913580247,53.56251386321626,annual dollars per employee (thousands),Row Crops
Agricultural Livelihoods,livelihoods,Annual Wages,RICE,39.0624739007644,2.01383613106825,29.1012,49.33122556390977,annual dollars per employee (thousands),Rice
Agricultural Livelihoods,livelihoods,Annual Wages,IDLE,0,NA,NA,NA,annual dollars per employee (thousands),Idle
