scenario,ZONE,METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,UNIT,SCENARIO,SCENARIO_SE,BASELINE,BASELINE_SE,net_change,net_change_se,change_prop,change_prop_se,change_pct,change_pct_se
scenario1_restoration,Contra Costa & Alameda,Agricultural Livelihoods,livelihoods,Agricultural Jobs,employees,219.0378852723642,11.848374431064142,219.17998124091469,11.851312163463932,-0.14209596855047835,16.75820923173364,-6.483072393107454e-4,0.07645867518634583,-0.06483072393107453,7.645867518634583
scenario1_restoration,Contra Costa & Alameda,Agricultural Livelihoods,livelihoods,Annual Wages,annual dollars per employee (thousands),39.041559510225134,0.7382937765189753,39.0456848299329,0.7391573434656614,-0.0041253197077679715,1.044715884269912,-1.056536650781305e-4,0.02675624442852363,-0.01056536650781305,2.6756244428523632
scenario1_restoration,Contra Costa & Alameda,Agricultural Livelihoods,production value,Gross Production Value,USD per year (millions),67667.11023664146,1701.43026179618,67682.30313052746,1701.5234316763488,-15.192893886007369,2406.251633620116,-2.2447365386942274e-4,0.03555215399944426,-0.022447365386942274,3.555215399944426
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Riparian landbird distributions,Ash-throated Flycatcher,ha,983100.403066621,NA,984410.651423389,NA,-1310.24835676793,NA,-0.0013309977445625995,NA,-0.13309977445625995,NA
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Riparian landbird distributions,Black-headed Grosbeak,ha,1251992.3859472077,NA,1261288.7831169697,NA,-9296.397169762058,NA,-0.007370554066760401,NA,-0.7370554066760401,NA
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Riparian landbird distributions,Common Yellowthroat,ha,1398769.3988018152,NA,1393937.4833600388,NA,4831.915441776393,NA,0.003466378872407696,NA,0.3466378872407696,NA
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Riparian landbird distributions,Lazuli Bunting,ha,613322.0235219847,NA,613498.3471613792,NA,-176.3236393944826,NA,-2.8740686948925244e-4,NA,-0.028740686948925245,NA
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Riparian landbird distributions,Nuttall's Woodpecker,ha,453248.52512320504,NA,454255.27083506394,NA,-1006.7457118589082,NA,-0.002216255432783847,NA,-0.22162554327838468,NA
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Riparian landbird distributions,Song Sparrow,ha,4348849.849266559,NA,4349184.411304776,NA,-334.5620382167399,NA,-7.692523622293811e-5,NA,-0.007692523622293812,NA
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Riparian landbird distributions,Spotted Towhee,ha,2404069.4703911124,NA,2395209.6528634327,NA,8859.817527679726,NA,0.0036989737065763594,NA,0.36989737065763595,NA
