CODE_NAME,METRIC,METRIC_CATEGORY,METRIC_SUBTYPE,UNIT,SCORE_MEAN,SCORE_SE,SCORE_MIN,SCORE_MAX
FIELD_CORN,Air Pollutant,water quality,pesticide application rate,kg per ha,0.20347036809915822,0.05612402246128218,0.10126607096856634,0.4156024815052373
FIELD_CORN,Carcinogen,water quality,pesticide application rate,kg per ha,2.0445977870170706,0.13112241635643768,1.6716626730415982,2.3168330375270734
FIELD_CORN,Critical Pesticides,water quality,pesticide application rate,kg per ha,0.579622664836537,0.06458417031529763,0.39487629716572703,0.7773534540399467
FIELD_CORN,Groundwater Contaminant,water quality,pesticide application rate,kg per ha,0.03251912657849203,0.008631178140841678,0.00157834987435798,0.05483613573532664
FIELD_CORN,Reproductive Toxicity,water quality,pesticide application rate,kg per ha,0.18372695389496368,0.023769624271840553,0.11149407500337462,0.24901978016704013
FIELD_CORN,Risk to Aquatic Organisms,water quality,pesticide application rate,kg per ha,0.5966863072502369,0.03704411700209074,0.49417130530867825,0.7114958690747585
FIELD_CORN,Total Pesticides,water quality,pesticide application rate,kg per ha,2.8745068400405676,0.13055523534864377,2.530492668681698,3.2599254209408284
FIELD_OTHER,Air Pollutant,water quality,pesticide application rate,kg per ha,0.6707953110499622,0.09298347794107964,0.485972407842342,0.990786706061199
FIELD_OTHER,Carcinogen,water quality,pesticide application rate,kg per ha,0.4879077810287692,0.10943246051246333,0.28234646711867,0.8335805422660421
FIELD_OTHER,Critical Pesticides,water quality,pesticide application rate,kg per ha,0.6859325375013596,0.165080401984823,0.2327005105064519,1.0537484828906922
FIELD_OTHER,Groundwater Contaminant,water quality,pesticide application rate,kg per ha,0.0029705565395251234,0.0013047753549391583,4.092261740795477e-4,0.004683663914748417
FIELD_OTHER,Reproductive Toxicity,water quality,pesticide application rate,kg per ha,0.024725272996267127,0.006793721127120498,0.0031787363382154436,0.041953502793159875
FIELD_OTHER,Risk to Aquatic Organisms,water quality,pesticide application rate,kg per ha,1.1491388636867332,0.1623867193371374,0.7973292695971298,1.7176057013841388
