Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
2019,268099,ALMOND HULLS ,7,Butte ,  ,  ,31000,95,Tons ,2945000
2019,268099,ALMOND HULLS ,11,Colusa ,  ,  ,68800,84.94,Tons ,5844000
2019,268099,ALMOND HULLS ,19,Fresno ,  ,  ,481000,105,Tons ,50505000
2019,268099,ALMOND HULLS ,21,Glenn ,  ,  ,58400,130.96,Tons ,7648000
2019,268099,ALMOND HULLS ,29,Kern ,  ,  ,384000,113.25,Tons ,43489000
2019,268099,ALMOND HULLS ,31,Kings ,  ,  ,76000,95.99,Tons ,7295000
2019,268099,ALMOND HULLS ,39,Madera ,  ,  ,327000,90.02,Tons ,29438000
2019,268099,ALMOND HULLS ,47,Merced ,  ,  ,147000,100.73,Tons ,14807000
2019,268099,ALMOND HULLS ,77,San Joaquin ,  ,  ,180000,89.92,Tons ,16186000
2019,268099,ALMOND HULLS ,99,Stanislaus ,  ,  ,476000,95.6,Tons ,45506000
2019,268099,ALMOND HULLS ,107,Tulare ,  ,  ,153000,76,Tons ,11628000
2019,268099,ALMOND HULLS ,113,Yolo ,  ,  ,41900,100,Tons ,4190000
2019,268099,ALMOND HULLS ,115,Yuba ,  ,  ,1630,60.12,Tons ,98000
2019,268099,ALMOND HULLS ,991,Sum of Others ,  ,  ,  ,  ,  ,1866000
2019,268099,ALMOND HULLS ,999, State Totals,0,  ,2425730,98.77,    ,241445000
2019,261999,ALMONDS ALL ,7,Butte ,39200,0.8,31400,4480.86,Tons ,140699000
2019,261999,ALMONDS ALL ,9,Calaveras ,180,0.29,52,5019.23,Tons ,261000
2019,261999,ALMONDS ALL ,11,Colusa ,68800,0.8,55000,5500.24,Tons ,302513000
2019,261999,ALMONDS ALL ,19,Fresno ,264000,1.17,309000,4930,Tons ,1523370000
2019,261999,ALMONDS ALL ,21,Glenn ,59800,0.8,47800,4748.89,Tons ,226997000
2019,261999,ALMONDS ALL ,29,Kern ,226000,1.31,295000,5422.89,Tons ,1599752000
2019,261999,ALMONDS ALL ,31,Kings ,31900,1.19,38000,5079.21,Tons ,193010000
2019,261999,ALMONDS ALL ,39,Madera ,149000,1.12,167000,4817.53,Tons ,804528000
2019,261999,ALMONDS ALL ,47,Merced ,97000,0.88,85300,4938.5,Tons ,421254000
2019,261999,ALMONDS ALL ,61,Placer ,2090,0.25,521,4861.8,Tons ,2533000
