Year,Commodity Code,Crop Name,County Code,County,Harvested Acres,Yield,Production,Price P/U,Unit,Value
2016,268099,ALMOND HULLS,7,Butte,,,40000,90,Tons,3600000
2016,268099,ALMOND HULLS,11,Colusa,,,57100,45.01,Tons,2570000
2016,268099,ALMOND HULLS,19,Fresno,,,407000,64,Tons,26048000
2016,268099,ALMOND HULLS,21,Glenn,,,54200,74.94,Tons,4062000
2016,268099,ALMOND HULLS,29,Kern,,,282000,72.71,Tons,20503000
2016,268099,ALMOND HULLS,31,Kings,,,49500,73.64,Tons,3645000
2016,268099,ALMOND HULLS,39,Madera,,,250000,79.97,Tons,19992000
2016,268099,ALMOND HULLS,47,Merced,,,231000,56.85,Tons,13132000
2016,268099,ALMOND HULLS,77,San Joaquin,,,145000,68.15,Tons,9882000
2016,268099,ALMOND HULLS,99,Stanislaus,,,378000,60,Tons,22680000
2016,268099,ALMOND HULLS,101,Sutter,,,7090,100,Tons,709000
2016,268099,ALMOND HULLS,107,Tulare,,,133000,73,Tons,9709000
2016,268099,ALMOND HULLS,113,Yolo,,,30600,100,Tons,3060000
2016,268099,ALMOND HULLS,115,Yuba,,,802,69.83,Tons,56000
2016,268099,ALMOND HULLS,991,Sum of Others,,,162610,10.85,Tons,1765000
2016,268099,ALMOND HULLS,999,State Total,,,2227902,63.47,,141413000
2016,261999,ALMONDS ALL,7,Butte,39500,0.85,33600,5592.32,Tons,187902000
2016,261999,ALMONDS ALL,11,Colusa,57100,1.03,58800,5122.84,Tons,301223000
2016,261999,ALMONDS ALL,19,Fresno,215000,1.17,252000,4633,Tons,1167516000
2016,261999,ALMONDS ALL,21,Glenn,48600,0.89,43200,5191.53,Tons,224274000
2016,261999,ALMONDS ALL,29,Kern,217000,1.19,259000,4924.79,Tons,1275520000
2016,261999,ALMONDS ALL,31,Kings,23100,1.07,24800,4810.28,Tons,119295000
2016,261999,ALMONDS ALL,39,Madera,125000,1.02,128000,4480.43,Tons,573495000
